question,answer,text
,University of Georgia and University of Alabama, University of Georgia and University of Alabama
,Nuwakot, Nuwakot
,22 January 1988, 22 January 1988
,North, North
,Kazakh Soviet Socialist Republic, Kazakh Soviet Socialist Republic
,10 (acceptable range: anything between 9 and 11 degrees Fahrenheit), 10 (acceptable range: anything between 9 and 11 degrees Fahrenheit)
,Phantom Tracks, Phantom Tracks
,Karen Fobbs, Karen Fobbs
,Hokkaido University, Hokkaido University
,1837 to 1839, 1837 to 1839
,Népszava, Népszava
,Edme-Sébastien Jeaurat, Edme-Sébastien Jeaurat
,EPOCHTODATE, EPOCHTODATE
,"May 29, 2012"," May 29, 2012"
,1142 feet (acceptable range: anything between 1130 and 1154 feet), 1142 feet (acceptable range: anything between 1130 and 1154 feet)
,Lydia Canaan, Lydia Canaan
,7, 7
,Nepal Open University, Nepal Open University
,"October, 2015"," October, 2015"
,Moosetape, Moosetape
,Soweto Gospel Choir, Soweto Gospel Choir
,1984, 1984
,Emilio Alvaro Bonnecarrere, Emilio Alvaro Bonnecarrere
,Guy Montgomery, Guy Montgomery
,8000 (acceptable range: anything between 7920 and 8080), 8000 (acceptable range: anything between 7920 and 8080)
,23-27, 23-27
,Silver, Silver
,North Carolina School of the Arts, North Carolina School of the Arts
,Capel, Capel
,"June 5, 1944"," June 5, 1944"
,Alfred Lamontagne, Alfred Lamontagne
,14 October 1990., 14 October 1990.
,17 November 1967, 17 November 1967
,An experimental study of certain basic amino acids, An experimental study of certain basic amino acids
,Jeff Crowe, Jeff Crowe
,Ehud Hrushovski, Ehud Hrushovski
,"November 30, 1949"," November 30, 1949"
,2908, 2908
,"1 February 1895, Stockholm, by Louis Zettersten and Pehr Ehnemark"," 1 February 1895, Stockholm, by Louis Zettersten and Pehr Ehnemark"
,"Avon River, Enchanter, and HMS Royal Scotsman"," Avon River, Enchanter, and HMS Royal Scotsman"
,Islamia College of Science and Commerce, Islamia College of Science and Commerce
,"October 3, 1247"," October 3, 1247"
,Make Some Noise, Make Some Noise
,Saros 109, Saros 109
,January 1960, January 1960
,"$3,000 bond"," $3,000 bond"
,29 November 2004, 29 November 2004
,"November 28th, 1968"," November 28th, 1968"
,1964, 1964
,New Guinea, New Guinea
,17 December 2015, 17 December 2015
,"Four - Green, Red, Black, Orange."," Four - Green, Red, Black, Orange."
,segment producer, segment producer
,moistcr1tikal, moistcr1tikal
,Gladys A. Emerson, Gladys A. Emerson
,Rolle, Rolle
,"8,282 (acceptable range: anything between 8199 and 8365)"," 8,282 (acceptable range: anything between 8199 and 8365)"
,Justice K. G. Balakrishnan, Justice K. G. Balakrishnan
,January 1956, January 1956
,Calgary, Calgary
,1866, 1866
,"July 20, 1937"," July 20, 1937"
,65daysofstatic, 65daysofstatic
,Duke University, Duke University
,2000, 2000
,Chignahuapan, Chignahuapan
,equilux, equilux
,Eintracht Frankfurt, Eintracht Frankfurt
,Garden of the Villa Montalto, Garden of the Villa Montalto
,5109 m (acceptable range: anything between 5057 and 5161 m), 5109 m (acceptable range: anything between 5057 and 5161 m)
,Gamma Parallel Database System, Gamma Parallel Database System
,Sir Colin Halkett, Sir Colin Halkett
,Sulfanilamide (also know as para-aminobenzenesulfonamide), Sulfanilamide (also know as para-aminobenzenesulfonamide)
,The Tree, The Tree
,Samuel Buckle, Samuel Buckle
,4 years., 4 years.
,20 Jun 2005, 20 Jun 2005
,13 June 2004, 13 June 2004
,The New York Drawing Association, The New York Drawing Association
,The Little River, The Little River
,"Dallas, Texas"," Dallas, Texas"
,Harnek Mahal, Harnek Mahal
,Sony Alpha 1, Sony Alpha 1
,29 June 2022, 29 June 2022
,Knoedler, Knoedler
,Matthew Dubourg, Matthew Dubourg
,"The stadion, and the double race (Diaulos)."," The stadion, and the double race (Diaulos)."
,H. T. Habershon's evangelical Christian boarding school, H. T. Habershon's evangelical Christian boarding school
,2016, 2016
,airport baggage handler, airport baggage handler
,Lara Croft, Lara Croft
,Shinjuku, Shinjuku
,2007, 2007
,Fred Gordon, Fred Gordon
,17.2 meters (acceptable range: anything between 17.03 and 17.37 meters), 17.2 meters (acceptable range: anything between 17.03 and 17.37 meters)
,Sneaton, Sneaton
,Sts. Simon and Jude, Sts. Simon and Jude
,three, three
,Best, Best
,6, 6
,2010, 2010
,23 August 1945, 23 August 1945
,1270 mm (acceptable range: anything between 1257 and 1283 mm), 1270 mm (acceptable range: anything between 1257 and 1283 mm)
,405 x 480 cm (acceptable range: [400-409] x [475-485] cm), 405 x 480 cm (acceptable range: [400-409] x [475-485] cm)
,Joshna Chinappa, Joshna Chinappa
,Asahis, Asahis
,1992, 1992
,Moritz Jagendorf, Moritz Jagendorf
,Ryuhoku Elementary School., Ryuhoku Elementary School.
,1758, 1758
,Alamo, Alamo
,Shri A.Tombikanta Singh, Shri A.Tombikanta Singh
,"September 19, 1999"," September 19, 1999"
,1911 to 1959, 1911 to 1959
,Michael Pick, Michael Pick
,"Solution of the Two-dimensional Mixed-mixed Boundary Value Problem of Elasticity For Rectangular, Orthotropic Media And Application To The Buckling Of Sandwich Beams[1]"," Solution of the Two-dimensional Mixed-mixed Boundary Value Problem of Elasticity For Rectangular, Orthotropic Media And Application To The Buckling Of Sandwich Beams[1]"
,1912, 1912
,10, 10
,1988, 1988
,February 1942, February 1942
,1.0495 (acceptable range: anything between 1.04 and 1.06), 1.0495 (acceptable range: anything between 1.04 and 1.06)
,Whitehttps://www.sfgmc.org/blog/pride-flags#block-yui_3_17_2_1_1683145657332_180414, Whitehttps://www.sfgmc.org/blog/pride-flags#block-yui_3_17_2_1_1683145657332_180414
,20 x 56 in studs, 20 x 56 in studs
,"April 2, 2019"," April 2, 2019"
,Ida Barney, Ida Barney
,Herzberg, Herzberg
,3, 3
,18, 18
,1976, 1976
,"June 14, 1900"," June 14, 1900"
,Sebastian Kolowa, Sebastian Kolowa
,University of Illinois at Urbana–Champaign., University of Illinois at Urbana–Champaign.
,Jack Washington, Jack Washington
,Bar-Ilan University, Bar-Ilan University
,Australia, Australia
,Ardlings, Ardlings
,Marcelo Langieri, Marcelo Langieri
,Clarence van Riet Lowe, Clarence van Riet Lowe
,The School of Oriental and African Studies University of London, The School of Oriental and African Studies University of London
,"January 25, 1991"," January 25, 1991"
,08 July 2023, 08 July 2023
,20 May 1992, 20 May 1992
,29.1, 29.1
,The Mixers, The Mixers
,160 (acceptable range: anything between 158 and 162), 160 (acceptable range: anything between 158 and 162)
,Charles Alfred Maguire., Charles Alfred Maguire.
,Republican Party, Republican Party
,En Marche!, En Marche!
,12, 12
,chief justice of the Manipur High Court, chief justice of the Manipur High Court
,4, 4
,18.01, 18.01
,Liverpool 2 - 1 Leicester, Liverpool 2 - 1 Leicester
,Abu Ishaq al-Sahili., Abu Ishaq al-Sahili.
,2.61% (acceptable range: anything between 2.58% and 2.64%), 2.61% (acceptable range: anything between 2.58% and 2.64%)
,Platinum, Platinum
,Vivekanandapuri, Vivekanandapuri
,Thomas Kitson, Thomas Kitson
,Astron 2, Astron 2
,Olga Polverino, Olga Polverino
,09 November 2008, 09 November 2008
,Birendra Bir Bikram Shah Dev, Birendra Bir Bikram Shah Dev
,10 years, 10 years
,110.50 m (acceptable range: anything between 109.39 and 111.61 m), 110.50 m (acceptable range: anything between 109.39 and 111.61 m)
,DB11150, DB11150
,Poland, Poland
,Technische Universität Darmstadt, Technische Universität Darmstadt
,2013, 2013
,Sierra High School., Sierra High School.
,Oriental Cricket Club, Oriental Cricket Club
,J. E. H. Benoît, J. E. H. Benoît
,Pedra Branca, Pedra Branca
,"2,111,578 (acceptable range: anything between 2,006,000 and 2,217,157)"," 2,111,578 (acceptable range: anything between 2,006,000 and 2,217,157)"
,Nicole Arendt and Manon Bollegraf., Nicole Arendt and Manon Bollegraf.
,121 (acceptable range: anything between 119 and 123), 121 (acceptable range: anything between 119 and 123)
,1989, 1989
,1861, 1861
,1967, 1967
,Volvo FEI World Cup Final, Volvo FEI World Cup Final
,1975, 1975
,Saqib Majeed, Saqib Majeed
,LD-700, LD-700
,53rd minute (acceptable range: anything between 52nd and 54th minute), 53rd minute (acceptable range: anything between 52nd and 54th minute)
,Dave Garroway, Dave Garroway
,17.37.59, 17.37.59
,30 (acceptable range: anything between 29 and 31), 30 (acceptable range: anything between 29 and 31)
,41:18 (acceptable range: anything between 41:17 and 41:19), 41:18 (acceptable range: anything between 41:17 and 41:19)
,Giovanni Antonio Scopoli, Giovanni Antonio Scopoli
,1965, 1965
,Curchod, Curchod
,219 (acceptable range: anything between 216 and 222), 219 (acceptable range: anything between 216 and 222)
,1142 (acceptable range: anything between 1129 and 1154), 1142 (acceptable range: anything between 1129 and 1154)
,H. D. Kumaraswamy, H. D. Kumaraswamy
,"18th of April, 1954"," 18th of April, 1954"
,Mitsuaki Tanigawa, Mitsuaki Tanigawa
,"Bihar Pradesh (or ""Provincial"") Congress Committee"," Bihar Pradesh (or ""Provincial"") Congress Committee"
,66 votes, 66 votes
,55% (acceptable range: anything between 54% and 56%), 55% (acceptable range: anything between 54% and 56%)
,"August 19, 2006"," August 19, 2006"
,October 2023, October 2023
,Tatiana Zatulovskaya, Tatiana Zatulovskaya
,"October 17, 1946"," October 17, 1946"
,Lesley Langley, Lesley Langley
,Namibia 38 - 26 Emerging Italy, Namibia 38 - 26 Emerging Italy
,13 May 2004, 13 May 2004
,Saffron Cultivation, Saffron Cultivation
,Dora Altbir, Dora Altbir
,"August 14, 1996"," August 14, 1996"
,Papua New Guinea and Indonesia, Papua New Guinea and Indonesia
,New York University, New York University
,2, 2
,28983 (acceptable range: anything between 27533 and 30433), 28983 (acceptable range: anything between 27533 and 30433)
,"""For Emily, Whenever I May Find Her"""," ""For Emily, Whenever I May Find Her"""
,Coenraad Jacob Temminck, Coenraad Jacob Temminck
,Don't Look, Don't Look
,12 April 1956, 12 April 1956
,The Palazzo della Cancelleria, The Palazzo della Cancelleria
,February 1993, February 1993
,University of Southern California., University of Southern California.
,Gul Shah, Gul Shah
,2013, 2013
,Joan Berkowitz, Joan Berkowitz
,"1/4,000 sec"," 1/4,000 sec"
,30 July 1958, 30 July 1958
,Agriculture and Forestry University, Agriculture and Forestry University
,1881, 1881
,2012, 2012
,M. Chinnaswamy Stadium, M. Chinnaswamy Stadium
,Kathy Kusner, Kathy Kusner
,35 Downshire Hill, 35 Downshire Hill
,Miriam Kastner, Miriam Kastner
,Graskop, Graskop
,RheinEnergieStadion, RheinEnergieStadion
,January 2021, January 2021
,2013, 2013
,Wutip, Wutip
,1970, 1970
,1914, 1914
,Benjamin Bullard, Benjamin Bullard
,v0.4.0, v0.4.0
,6, 6
,2, 2
,Minister of Energy in Ghana, Minister of Energy in Ghana
,Ovidiu Savin, Ovidiu Savin
,September 1989, September 1989
,1935, 1935
,1936, 1936
,13.44 m (acceptable range: anything between 13.30 and 13.58 m), 13.44 m (acceptable range: anything between 13.30 and 13.58 m)
,There's a hero (if you look inside your heart), There's a hero (if you look inside your heart)
,Jimmy Hughes, Jimmy Hughes
,v1.3-rc8, v1.3-rc8
,Mindgrove, Mindgrove
,John Bennett, John Bennett
,9th, 9th
,2618 (acceptable range: anything between 2591 and 2645), 2618 (acceptable range: anything between 2591 and 2645)
,Scab, Scab
,Sachin Tendulkar, Sachin Tendulkar
,221 (acceptable range: anything between 218 and 224), 221 (acceptable range: anything between 218 and 224)
,Ganges-Yamuna Doab, Ganges-Yamuna Doab
,Padma Kanya Campus, Padma Kanya Campus
,Rajindar Singh Dhatt, Rajindar Singh Dhatt
,Patrick Henry High School, Patrick Henry High School
,2, 2
,"January 13, 1559"," January 13, 1559"
,Sri Prakasa, Sri Prakasa
,Lovedale High School, Lovedale High School
,08-1981, 08-1981
,1, 1
,4, 4
,Patricia Bernstein, Patricia Bernstein
,Ashley Payne, Ashley Payne
,My Snowboarding Skillz, My Snowboarding Skillz
,Jalisco, Jalisco
,Citizen X8 Titanium Chronometer, Citizen X8 Titanium Chronometer
,Marcel Sabourin, Marcel Sabourin
,Wishbone Records, Wishbone Records
,Olga Kharlan - Kim Ji-yeon: 15–14, Olga Kharlan - Kim Ji-yeon: 15–14
,Japan, Japan
,1999, 1999
,Ahaetulla anomala, Ahaetulla anomala
,National Academy of Design, National Academy of Design
,Red / Auburn, Red / Auburn
,1565 (acceptable range: anything between 1549 and 1581), 1565 (acceptable range: anything between 1549 and 1581)
,1997, 1997
,"€4,000"," €4,000"
,27, 27
,Larrousse, Larrousse
,Artificial Intelligence, Artificial Intelligence
,121 (acceptable range: anything between 119 and 123), 121 (acceptable range: anything between 119 and 123)
,Rajouri, Rajouri
,1945, 1945
,Adil Hussain, Adil Hussain
,IIT (BHU), IIT (BHU)
,Michael Todd Robinson Jr., Michael Todd Robinson Jr.
,"70,435 spectators (acceptable range: anything between 66,913 and 74,017 spectators)"," 70,435 spectators (acceptable range: anything between 66,913 and 74,017 spectators)"
,Louis Kievman, Louis Kievman
,Music to the poetry of Ntinos Christianopoulos, Music to the poetry of Ntinos Christianopoulos
,1947, 1947
,1985, 1985
,Beji Caid Essebsi, Beji Caid Essebsi
,Marcelo Viana, Marcelo Viana
,5000 (acceptable range: anything between 4950 and 5050 meters above sea level), 5000 (acceptable range: anything between 4950 and 5050 meters above sea level)
,3:11:22 (acceptable range: anything between 3:11:21 and 3:11:23), 3:11:22 (acceptable range: anything between 3:11:21 and 3:11:23)
,Linville River, Linville River
,Jesse Johnson, Jesse Johnson
,Ghulam Ishaq Khan, Ghulam Ishaq Khan
,Arlan Lerio, Arlan Lerio
,41, 41
,Eugène-Étienne Taché, Eugène-Étienne Taché
,Arjun Rajiv, Arjun Rajiv
,1960, 1960
,A crab and Heracles, A crab and Heracles
,Dušan Lajović, Dušan Lajović
,"10 August, 2023"," 10 August, 2023"
,January 2021, January 2021
,Pallas, Pallas
,July 2022, July 2022
,1966, 1966
,25 April 2001, 25 April 2001
,Bishkek, Bishkek
,Brazilian rosewood, Brazilian rosewood
,Princeton University, Princeton University
,Takumi Minamino, Takumi Minamino
,1958, 1958
,3, 3
,The Sun, The Sun
,"December 9, 1974"," December 9, 1974"
,Mechanical Engineering, Mechanical Engineering
,77 (acceptable range: anything between 76 and 78), 77 (acceptable range: anything between 76 and 78)
,23 April 2021, 23 April 2021
,Manhattan, Manhattan
,2008, 2008
,1618, 1618
,"June 18, 2022"," June 18, 2022"
,550 hp (acceptable range: anything between 544 and 556 hp), 550 hp (acceptable range: anything between 544 and 556 hp)
,1985, 1985
,15 July 1990, 15 July 1990
,Michael Waterman, Michael Waterman
,34, 34
,The Psychedelic Review, The Psychedelic Review
,da Vinci Arts Middle School, da Vinci Arts Middle School
,Busbie Castle, Busbie Castle
,Version 3.2.6827 (aka 3.2.6760), Version 3.2.6827 (aka 3.2.6760)
,Hans Bohn, Hans Bohn
,Waco, Waco
,37, 37
,91 Aegina, 91 Aegina
,John Matoian, John Matoian
,Southport Island, Southport Island
,sun's rays, sun's rays
,2011, 2011
,Kabon, Kabon
,1469 Church Street NW, 1469 Church Street NW
,1880, 1880
,Kimberley, Kimberley
,Checkmate Strategies, Checkmate Strategies
,Indemnities, Indemnities
,Bede Cottage, Bede Cottage
,2015, 2015
,48, 48
,Fleur d’ajonc, Fleur d’ajonc
,Harvard, Harvard
,4, 4
,107, 107
,8, 8
,ROC, ROC
,11, 11
,Caius Gabriel Cibber, Caius Gabriel Cibber
,1994-033A, 1994-033A
,KRBB, KRBB
,Patrice Émery Lumumba, Patrice Émery Lumumba
,December 1972, December 1972
,Carol S. Wood, Carol S. Wood
,1998, 1998
,3, 3
,Kitagawa, Kitagawa
,3, 3
,slavery, slavery
,Northeastern University, Northeastern University
,"3,342.49 (acceptable range: anything between 3309.07 and 3375.91 square kilometers)"," 3,342.49 (acceptable range: anything between 3309.07 and 3375.91 square kilometers)"
,4, 4
,Niloufar Bayan, Niloufar Bayan
,Mrs. Rup SP Singh, Mrs. Rup SP Singh
,2021, 2021
,University of Wisconsin, University of Wisconsin
,1948, 1948
,kunekune, kunekune
,Sarah Lovejoy, Sarah Lovejoy
,Mizoram, Mizoram
,2000, 2000
,34, 34
,Silk factory., Silk factory.
,"July, 1972"," July, 1972"
,Charles Jacobs, Charles Jacobs
,"""I Want to Hold Your Hand"""," ""I Want to Hold Your Hand"""
,Valentine, Valentine
,"October 28, 2021."," October 28, 2021."
,"July 8, 1926"," July 8, 1926"
,The Anatomy of the Tongue in Cheek, The Anatomy of the Tongue in Cheek
,Lloyd Hopkins Field, Lloyd Hopkins Field
,"October 16, 2002"," October 16, 2002"
,"March 16, 2010"," March 16, 2010"
,Teatro Lyrico Fluminense, Teatro Lyrico Fluminense
,"Bolzano, Italy"," Bolzano, Italy"
,Lal Mandi Footbridge, Lal Mandi Footbridge
,"4,000 acres (acceptable range: anything between 3960 and 4040 acres)"," 4,000 acres (acceptable range: anything between 3960 and 4040 acres)"
,"October 19, 2009"," October 19, 2009"
,Zanele Muholi: African Women Photographers #1, Zanele Muholi: African Women Photographers #1
,Hermogenes, Hermogenes
,1546, 1546
,Berlin City World Youth Festival, Berlin City World Youth Festival
,1946, 1946
,5q14.1, 5q14.1
,"December 6, 2016"," December 6, 2016"
,1 November 2009, 1 November 2009
,Zari., Zari.
,Johnny Bravo, Johnny Bravo
,ValPaL (Valency Patterns Leipzig) database, ValPaL (Valency Patterns Leipzig) database
,25 October 1884, 25 October 1884
,1998, 1998
,50.16 (acceptable range: anything between 49.65 and 50.67), 50.16 (acceptable range: anything between 49.65 and 50.67)
,Two, Two
,"May 19, 2009"," May 19, 2009"
,3, 3
,Nicholas Pirotton, Nicholas Pirotton
,2019, 2019
,Nyeri High School, Nyeri High School
,"1 year, 161 days (acceptable range: 1 year, anything between 160 and 162 days)"," 1 year, 161 days (acceptable range: 1 year, anything between 160 and 162 days)"
,Erik Willis, Erik Willis
,1213 (acceptable range: anything between 1199 and 1226), 1213 (acceptable range: anything between 1199 and 1226)
,James Brewster, James Brewster
,Henry Cheere, Henry Cheere
,64, 64
,"October 4, 1921"," October 4, 1921"
,SH 5A, SH 5A
,1913, 1913
,Germany and Italy, Germany and Italy
,Stratigraphy of the Hamilton Group of New York, Stratigraphy of the Hamilton Group of New York
,128th, 128th
,4.86 m (acceptable range: anything between 4.81 and 4.91 m), 4.86 m (acceptable range: anything between 4.81 and 4.91 m)
,Caridea, Caridea
,"April 23, 1942"," April 23, 1942"
,"May 28, 1964"," May 28, 1964"
,James Albery's Pink Dominoes, James Albery's Pink Dominoes
,17th September 2021, 17th September 2021
,4 September 1282, 4 September 1282
,BenJamin P. Johnson, BenJamin P. Johnson
,Tennessee, Tennessee
,2018, 2018
,The Shell Ultra Helix Cup., The Shell Ultra Helix Cup.
,9, 9
,2, 2
,The Snake, The Snake
,Fleury-Mérogis Prison, Fleury-Mérogis Prison
,Juniata College, Juniata College
,1978, 1978
,Mingus Ulysses Mapps, Mingus Ulysses Mapps
,Massimiliano Soldani-Benzi, Massimiliano Soldani-Benzi
,Pearsall High School, Pearsall High School
,C, C
,Bristol, Bristol
,50 Yeas and 49 Nays, 50 Yeas and 49 Nays
,Chicago Symphony Orchestra, Chicago Symphony Orchestra
,56.70% (acceptable range: anything between 56.13% and 57.27%), 56.70% (acceptable range: anything between 56.13% and 57.27%)
,Tricot line, Tricot line
,Winter, Winter
,Swami Vivekananda Planetarium, Swami Vivekananda Planetarium
,Gabashane Vincent Rakabaele, Gabashane Vincent Rakabaele
,Léon Gambetta, Léon Gambetta
,Glen Cove Hospital, Glen Cove Hospital
,105 km (acceptable range: anything between 103 and 107 km), 105 km (acceptable range: anything between 103 and 107 km)
,August 2011, August 2011
,3, 3
,263 (acceptable range: anything between 259 and 266), 263 (acceptable range: anything between 259 and 266)
,6.9 millimetres (acceptable range: anything between 6.83 and 6.97 millimetres), 6.9 millimetres (acceptable range: anything between 6.83 and 6.97 millimetres)
,2010-2013, 2010-2013
,Jugnu, Jugnu
,Manishi Dey, Manishi Dey
,1985, 1985
,"Tuberculosis (then know as ""Consumption"")"," Tuberculosis (then know as ""Consumption"")"
,175 (acceptable range: anything between 173 and 177), 175 (acceptable range: anything between 173 and 177)
,31 July 1974, 31 July 1974
,Stoke Ladies, Stoke Ladies
,Providence, Providence
,Titian Gallery, Titian Gallery
,July 2015, July 2015
,A sword, A sword
,Al-Zabadani, Al-Zabadani
,"April, 2008"," April, 2008"
,27 x 40 inches (acceptable range: [26-28] x [39-41] inches), 27 x 40 inches (acceptable range: [26-28] x [39-41] inches)
,Helmut Lang: new work, Helmut Lang: new work
,1975, 1975
,8, 8
,18, 18
,"May 17, 2022"," May 17, 2022"
,Diamond Jim, Diamond Jim
,137 (acceptable range: anything between 135 and 139), 137 (acceptable range: anything between 135 and 139)
,"A, B, C♯, D, E, F (or E♯), F♯, G♯"," A, B, C♯, D, E, F (or E♯), F♯, G♯"
,Meenakshi Balakrishnan, Meenakshi Balakrishnan
,Carlos Adolfo Altgelt and Hans Altgelt, Carlos Adolfo Altgelt and Hans Altgelt
,"Loyola University, New Orleans"," Loyola University, New Orleans"
,"August 24, 1965"," August 24, 1965"
,Gilgit, Gilgit
,Stephan von Breuning, Stephan von Breuning
,Damir Dzumhur, Damir Dzumhur
,Gordon McGowan, Gordon McGowan
,Leyden University, Leyden University
,Turdus, Turdus
,14 September 2011, 14 September 2011
,4 December 2001, 4 December 2001
,165, 165
,1 km, 1 km
,John Strahan French, John Strahan French
,The Problem We All Live With, The Problem We All Live With
,200 (acceptable range: anything between 198 and 202), 200 (acceptable range: anything between 198 and 202)
,4.5/13, 4.5/13
,Catherine Gurick, Catherine Gurick
,"9, September 2016"," 9, September 2016"
,22, 22
,"November 9, 1990"," November 9, 1990"
,Hibiya Open-Air Concert Hall, Hibiya Open-Air Concert Hall
,Leslie Wigglesworth, Leslie Wigglesworth
,Gabriel Oddone, Gabriel Oddone
,Maternal uncle., Maternal uncle.
,Cuba, Cuba
,20 May 1986, 20 May 1986
,22 March, 22 March
,10, 10
,Harvard College Observatory, Harvard College Observatory
,One and Others, One and Others
,18 August 1957, 18 August 1957
,Universidad de los Andes, Universidad de los Andes
,Roger Pfund, Roger Pfund
,Minister of Public Works, Minister of Public Works
,University of Gdańsk, University of Gdańsk
,"516,100 dollars"," 516,100 dollars"
,41, 41
,3, 3
,5, 5
,1955, 1955
,"20, January 1978"," 20, January 1978"
,2, 2
,"August 26, 2002 – May 22, 2004"," August 26, 2002 – May 22, 2004"
,Hudson, Hudson
,5 April 2011, 5 April 2011
,Donald Cripps, Donald Cripps
,Pikaia Lodge, Pikaia Lodge
,"September 10, 2015"," September 10, 2015"
,Lions and Waratahs, Lions and Waratahs
,Blades in the Dark, Blades in the Dark
,2022, 2022
,1981, 1981
,Elective Governor Act, Elective Governor Act
,Kerem Beyit, Kerem Beyit
,31 King Street East, 31 King Street East
,Prince Albert., Prince Albert.
,2008, 2008
,"Concord, Massachusetts"," Concord, Massachusetts"
,1872, 1872
,July 1944, July 1944
,IMPHAL, IMPHAL
,The Jean Thomson Collection of Original Art, The Jean Thomson Collection of Original Art
,Jerome of Saxton., Jerome of Saxton.
,Himachal Pradesh, Himachal Pradesh
,1858, 1858
,12.27 (acceptable range: anything between 12.14 and 12.89), 12.27 (acceptable range: anything between 12.14 and 12.89)
,126 Velleda, 126 Velleda
,Pneumonia, Pneumonia
,3, 3
,1891, 1891
,180caf23dd71383921e368128fb6db52, 180caf23dd71383921e368128fb6db52
,1962, 1962
,1925, 1925
,223, 223
,4551 (acceptable range: anything between 4505 and 4597), 4551 (acceptable range: anything between 4505 and 4597)
,61, 61
,26 October 2021, 26 October 2021
,Awake from Mourning, Awake from Mourning
,Viștea Mare, Viștea Mare
,Monthey, Monthey
,Katharine B. Blodgett, Katharine B. Blodgett
,21 January 1973, 21 January 1973
,98 (acceptable range: anything between 97 and 99), 98 (acceptable range: anything between 97 and 99)
,1930, 1930
,Aldo Carlos Neri, Aldo Carlos Neri
,"Newport Beach, California"," Newport Beach, California"
,Christof Theißen, Christof Theißen
