question,answer,text
,Jacob Pieter Den Hartog, Jacob Pieter Den Hartog
,"May 29, 2012"," May 29, 2012"
,Ruth Nussinov, Ruth Nussinov
,Martha Alice Brinson, Martha Alice Brinson
,"1,142 feet"," 1,142 feet"
,Dida Ritz, Dida Ritz
,March 2012, March 2012
,9 September 2022, 9 September 2022
,Lydia Canaan, Lydia Canaan
,"26,208"," 26,208"
,Jung Bahadur Rana, Jung Bahadur Rana
,speakers , speakers 
,David Sankoff, David Sankoff
,September 2022, September 2022
,Caridea, Caridea
,5.0.4, 5.0.4
,2, 2
,Euclid Avenue, Euclid Avenue
,Tanja Ackermann, Tanja Ackermann
,7, 7
,"Alexander Volberg, Jean-Christophe Yoccoz"," Alexander Volberg, Jean-Christophe Yoccoz"
,Jo Ann A. Hardesty, Jo Ann A. Hardesty
,Nepal Open University, Nepal Open University
,Caroní, Caroní
,1908, 1908
,21 of October of 2015, 21 of October of 2015
,"279,087"," 279,087"
,Gerhard Richter, Gerhard Richter
,"1,600"," 1,600"
,Moosetape, Moosetape
,Soweto Gospel Choir, Soweto Gospel Choir
,2005, 2005
,Zain-ul-Abidin, Zain-ul-Abidin
,1984, 1984
,2002 September 30, 2002 September 30
, Barvikha sanatorium ,  Barvikha sanatorium 
,Chilika Lake, Chilika Lake
,2007, 2007
,1.2.3, 1.2.3
,40, 40
,Insane, Insane
,2019, 2019
,Cyndi Lauper - True Colors, Cyndi Lauper - True Colors
,University of Chile , University of Chile 
,Emilio Alvaro Bonnecarrere, Emilio Alvaro Bonnecarrere
,23 July 1951, 23 July 1951
,MZ-05, MZ-05
,2009, 2009
,Kier and Imogene Eagan, Kier and Imogene Eagan
,Helen, Helen
,3, 3
,Guy Montgomery, Guy Montgomery
,8000, 8000
,27 February 1834, 27 February 1834
,1916, 1916
,Dorothy Maud Wrinch, Dorothy Maud Wrinch
,Edwin Pierpont, Edwin Pierpont
,Terence Tao, Terence Tao
,23-27, 23-27
,Silver , Silver 
,Antonio Garcia Padilla, Antonio Garcia Padilla
,Sir Henry Cole, Sir Henry Cole
,Darius Knezevic., Darius Knezevic.
,Berlinda Tolbert majored in theater art at the University of North Carolina School of the Arts in Winston-Salem., Berlinda Tolbert majored in theater art at the University of North Carolina School of the Arts in Winston-Salem.
,The oral arms. , The oral arms. 
,Gorilla Grodd, Gorilla Grodd
,164, 164
,4 October 2021, 4 October 2021
,Rutherford B. Hayes, Rutherford B. Hayes
,Capel, Capel
,Dane Maxwell, Dane Maxwell
,28 April 1961., 28 April 1961.
,1948, 1948
,41 million, 41 million
,"""We will make electricity so cheap that only the rich will burn candles."""," ""We will make electricity so cheap that only the rich will burn candles."""
,5 June 1944, 5 June 1944
,"January 16, 1978"," January 16, 1978"
,Marco Trevisiol, Marco Trevisiol
,Vincent Pallotti Hospital, Vincent Pallotti Hospital
,Alfred Lamontagne, Alfred Lamontagne
,14 October 1990., 14 October 1990.
,Expo 72 (72 E. Randolph St)., Expo 72 (72 E. Randolph St).
,February 2017, February 2017
,"November 17, 1967"," November 17, 1967"
,Quando spiega l'insegn'al sommo padre, Quando spiega l'insegn'al sommo padre
,1811, 1811
,Pernette , Pernette 
,Magdalen in the Desert, Magdalen in the Desert
,Harvard Revised Photometry Catalogue, Harvard Revised Photometry Catalogue
,An experimental study of certain basic amino acids , An experimental study of certain basic amino acids 
,Jeff Crowe , Jeff Crowe 
,Videotape, Videotape
,22 December 1891, 22 December 1891
,May 10 2023, May 10 2023
,Ehud Hrushovski, Ehud Hrushovski
,Asiento de Negros, Asiento de Negros
,"November 30, 1949"," November 30, 1949"
,"February 12, 2020"," February 12, 2020"
,1929–1930, 1929–1930
,Ari Rex, Ari Rex
, Institute of Contemporary Art Boston,  Institute of Contemporary Art Boston
,1.2.3, 1.2.3
,July 1628, July 1628
,Airrack, Airrack
,1787, 1787
,2908, 2908
,Windows 2000, Windows 2000
,15 January 1996, 15 January 1996
,November 1969, November 1969
,Sigma Chi, Sigma Chi
,"1 February 1895, Stockholm by Louis Zettersten and Pehr Ehnemark"," 1 February 1895, Stockholm by Louis Zettersten and Pehr Ehnemark"
,November 2021, November 2021
,January 2014., January 2014.
,3:37, 3:37
,"October 12, 2003"," October 12, 2003"
,"August 1st, 1880"," August 1st, 1880"
,1953, 1953
,Hirokazu Ando, Hirokazu Ando
,Patch 3.1.0, Patch 3.1.0
,Patti Austin, Patti Austin
,1969, 1969
,227 grams, 227 grams
,"Avon River, Enchanter, and HMS Royal Scotsman"," Avon River, Enchanter, and HMS Royal Scotsman"
,8 January 1784, 8 January 1784
,2005, 2005
,November and December 2021, November and December 2021
,"July 9, 2016"," July 9, 2016"
,Hannah, Hannah
,Markus Stenz, Markus Stenz
,"5,679"," 5,679"
,Santa Monica, Santa Monica
,Islamia College of Science and Commerce, Islamia College of Science and Commerce
,"August 9, 1979 - August 8, 1983"," August 9, 1979 - August 8, 1983"
,1828, 1828
,60:52, 60:52
,3 October 1247, 3 October 1247
,Leon Douglas Ralph, Leon Douglas Ralph
,"May 1, 2018"," May 1, 2018"
,Make Some Noise, Make Some Noise
,Saros 109, Saros 109
,January 1960, January 1960
,Lenhard Ng, Lenhard Ng
,Henry Kissinger , Henry Kissinger 
,J.B.S. Haldane, J.B.S. Haldane
,11 June 2005, 11 June 2005
,"August 16, 2012 "," August 16, 2012 "
, apprentice printer,  apprentice printer
,"William Croft, Keith Poole"," William Croft, Keith Poole"
,Brett Halsey, Brett Halsey
,2006, 2006
,"$3,000 bond"," $3,000 bond"
,Trot Nixon, Trot Nixon
,"April 26, 2012"," April 26, 2012"
,"December 4, 2000."," December 4, 2000."
,2007, 2007
,29 November 2004, 29 November 2004
,17 years old. , 17 years old. 
,Bonnie Berger, Bonnie Berger
,Oxtoby, Oxtoby
,"November 28th, 1968"," November 28th, 1968"
,1964, 1964
,New Guinea, New Guinea
,Thrush, Thrush
,4, 4
,Northwestern., Northwestern.
,1636, 1636
,6, 6
,Hideki Matsui, Hideki Matsui
,1777, 1777
,Mexico, Mexico
,December 2017, December 2017
,Sylvia Rivera, Sylvia Rivera
, October 2009,  October 2009
,Carl Preser, Carl Preser
,Personification of destiny, Personification of destiny
,Pulwama, Pulwama
,Maurice Yameogo, Maurice Yameogo
,Forbes, Forbes
,Emma Hamilton, Emma Hamilton
,Amir Hamza, Amir Hamza
,1950-52, 1950-52
,James, James
,4 August 1939, 4 August 1939
,KDIA., KDIA.
,1968, 1968
,11 December 1836, 11 December 1836
,1994, 1994
,two sons and three daughters., two sons and three daughters.
,"December 17, 2015"," December 17, 2015"
,124th Street and Manhattan Avenue, 124th Street and Manhattan Avenue
,Jane Long, Jane Long
,Evan Rowlands, Evan Rowlands
,Konrad Lorenz, Konrad Lorenz
,George III and the Prince of Wales Reviewing Troops, George III and the Prince of Wales Reviewing Troops
,Hao Wu, Hao Wu
,2018, 2018
,Jawaharlal Nehru, Jawaharlal Nehru
,2014, 2014
,"Four - Green, Red, Black, Orange."," Four - Green, Red, Black, Orange."
,1974, 1974
,"Episode 31, ""Transfer"""," Episode 31, ""Transfer"""
,segment producer, segment producer
,2020, 2020
,Myrtle Eagan, Myrtle Eagan
,Masterton, Masterton
,Bao, Bao
,1950, 1950
,"Season 2, Episode 10"," Season 2, Episode 10"
,4.0 units, 4.0 units
,7, 7
,It's past your bedtime, It's past your bedtime
,moistcr1tikal, moistcr1tikal
,2008, 2008
,Kadal, Kadal
,"10,423"," 10,423"
,Long Island, Long Island
,Gladys A. Emerson, Gladys A. Emerson
,2014, 2014
,1978, 1978
,"1,155"," 1,155"
,1983, 1983
,1820, 1820
,14, 14
,13.00	, 13.00	
,Ada Yonath, Ada Yonath
,2011, 2011
,Islam, Islam
,Rolle, Rolle
,In 1993. , In 1993. 
," 8,282","  8,282"
,President Obama , President Obama 
,Angela Lowery, Angela Lowery
,2012, 2012
,Justice K. G. Balakrishnan, Justice K. G. Balakrishnan
,January 1956, January 1956
,Calgary, Calgary
,22, 22
,Valerie Letechin, Valerie Letechin
,The Finchley Shakha Kho Kho Team, The Finchley Shakha Kho Kho Team
,Francesca Dominici, Francesca Dominici
,Soft tissue sarcoma., Soft tissue sarcoma.
, GigaPOWERS,  GigaPOWERS
,1866, 1866
,"July 20th, 1937"," July 20th, 1937"
,Paris. , Paris. 
,What do you think I'm gonna do? Blow my brains out?, What do you think I'm gonna do? Blow my brains out?
,65daysofstatic, 65daysofstatic
,20th of May 2002, 20th of May 2002
,Duke University , Duke University 
,1541, 1541
,1937, 1937
,"October 6, 2020"," October 6, 2020"
,2000, 2000
,Chignahuapan, Chignahuapan
,Stormy Knight, Stormy Knight
,Minister plenipotentiary, Minister plenipotentiary
,"May 17, 1990."," May 17, 1990."
,19 May 2016, 19 May 2016
,equilux, equilux
,Eyring, Eyring
,"December 21, 1956"," December 21, 1956"
,1863, 1863
,1778, 1778
,Pedro Martinez, Pedro Martinez
,12 November 1986, 12 November 1986
,2009, 2009
,"March 10, 2015"," March 10, 2015"
,Eintracht Frankfurt, Eintracht Frankfurt
,2, 2
,May 2022, May 2022
,Garden of the Villa Montalto, Garden of the Villa Montalto
,2020, 2020
,Soft Construction with Boiled Beans, Soft Construction with Boiled Beans
,Chief Justice Rajasthan High Court, Chief Justice Rajasthan High Court
,1954, 1954
,"April 9, 2018"," April 9, 2018"
,1862, 1862
,1.2.3, 1.2.3
,The University of Michigan., The University of Michigan.
,Hassan Nasrallah, Hassan Nasrallah
,"""Say it."""," ""Say it."""
,In Nomine Terra Calens: In the name of a warming earth, In Nomine Terra Calens: In the name of a warming earth
,Dhatki, Dhatki
,New York, New York
,Dallas, Dallas
,Two., Two.
,5109 m, 5109 m
,Gamma Parallel Database System, Gamma Parallel Database System
,Henry Franklin Smith, Henry Franklin Smith
,2 May 2000, 2 May 2000
,"June 15, 1677"," June 15, 1677"
,Season 3 Episode 9, Season 3 Episode 9
,Sir Colin Halkett, Sir Colin Halkett
,Sulfanilamide., Sulfanilamide.
,The Tree, The Tree
,August 2010, August 2010
,Leukemia, Leukemia
,Samuel Buckle, Samuel Buckle
,1907, 1907
,Fake World Wonderland, Fake World Wonderland
,20 July 1943., 20 July 1943.
,1944, 1944
,Genus Pycnonotus, Genus Pycnonotus
,4 years., 4 years.
,20 Jun 2005, 20 Jun 2005
,1927, 1927
,Nicole Spillane, Nicole Spillane
,13 June 2004, 13 June 2004
,Uttarakhand, Uttarakhand
,2012, 2012
,The New York Drawing Association, The New York Drawing Association
,1971, 1971
,Carl Owen Dunbar, Carl Owen Dunbar
,3, 3
,July, July
,breathe, breathe
," André Baruch, Howard Claney, and Roger Krupp.","  André Baruch, Howard Claney, and Roger Krupp."
,1886, 1886
,Shohei Tsuchiya, Shohei Tsuchiya
,"January 14, 1991"," January 14, 1991"
,24 June 1896, 24 June 1896
,The Little River, The Little River
,31, 31
, E. Bright Wilson,  E. Bright Wilson
,"Dallas, Texas"," Dallas, Texas"
,17.63 m, 17.63 m
,2018, 2018
,Liverpool F.C., Liverpool F.C.
,Harnek Mahal, Harnek Mahal
,Mirza Muhammad Murad Bakhsh, Mirza Muhammad Murad Bakhsh
,Sony Alpha 1, Sony Alpha 1
,Sabre, Sabre
,1691, 1691
,Piano, Piano
,43, 43
,July 1954, July 1954
,Helly, Helly
,10, 10
,6 November 2012, 6 November 2012
,Francisco de las Carreras, Francisco de las Carreras
,34, 34
,June 29 2022, June 29 2022
